table,column,via,root_type,kind,name,declared_at
execucaoPasso,entrada,known-sink,MensagemDeEntrada,ts-prop,conteudo,packages/core/src/fluxo/contexto.ts:52
execucaoPasso,entrada,known-sink,MensagemDeEntrada,ts-prop,de,packages/core/src/fluxo/contexto.ts:53
execucaoPasso,entrada,known-sink,MensagemDeEntrada,ts-prop,id,packages/core/src/fluxo/contexto.ts:50
execucaoPasso,entrada,known-sink,MensagemDeEntrada,ts-prop,para,packages/core/src/fluxo/contexto.ts:54
execucaoPasso,entrada,known-sink,MensagemDeEntrada,ts-prop,tipo,packages/core/src/fluxo/contexto.ts:51
execucaoPasso,saida,known-sink,MensagemDeSaida,ts-prop,bruto,packages/core/src/fluxo/contexto.ts:101
execucaoPasso,saida,known-sink,MensagemDeSaida,ts-prop,conteudo,packages/core/src/fluxo/contexto.ts:98
execucaoPasso,saida,known-sink,MensagemDeSaida,ts-prop,metadados,packages/core/src/fluxo/contexto.ts:99
execucaoPasso,saida,known-sink,MensagemDeSaida,ts-prop,tipo,packages/core/src/fluxo/contexto.ts:97
processHttpExecucao,contexto,known-sink,CursorDeProcessHttp,literal-value,conteudo,packages/core/src/fluxo/contexto.ts:123
processHttpExecucao,contexto,known-sink,CursorDeProcessHttp,ts-prop,corpo,packages/core/src/fluxo/contexto.ts:120
processHttpExecucao,contexto,known-sink,CursorDeProcessHttp,literal-value,entrada,packages/core/src/fluxo/contexto.ts:123
processHttpExecucao,contexto,known-sink,CursorDeProcessHttp,ts-prop,estadoId,packages/core/src/fluxo/contexto.ts:127
processHttpExecucao,contexto,known-sink,CursorDeProcessHttp,ts-prop,indice,packages/core/src/fluxo/contexto.ts:128
processHttpExecucao,contexto,known-sink,CursorDeProcessHttp,ts-prop,lista,packages/core/src/fluxo/contexto.ts:126
processHttpExecucao,contexto,known-sink,CursorDeProcessHttp,ts-prop,resposta,packages/core/src/fluxo/contexto.ts:129
processHttpExecucao,contexto,known-sink,CursorDeProcessHttp,literal-value,saida,packages/core/src/fluxo/contexto.ts:123
processHttpExecucao,contexto,known-sink,CursorDeProcessHttp,ts-prop,status,packages/core/src/fluxo/contexto.ts:119
processHttpExecucao,entrada,known-sink,MensagemDeEntrada,ts-prop,conteudo,packages/core/src/fluxo/contexto.ts:52
processHttpExecucao,entrada,known-sink,MensagemDeEntrada,ts-prop,de,packages/core/src/fluxo/contexto.ts:53
processHttpExecucao,entrada,known-sink,MensagemDeEntrada,ts-prop,id,packages/core/src/fluxo/contexto.ts:50
processHttpExecucao,entrada,known-sink,MensagemDeEntrada,ts-prop,para,packages/core/src/fluxo/contexto.ts:54
processHttpExecucao,entrada,known-sink,MensagemDeEntrada,ts-prop,tipo,packages/core/src/fluxo/contexto.ts:51
processHttpExecucao,pedido,known-sink,PedidoDeHttp,ts-prop,cabecalhos,packages/core/src/fluxo/contexto.ts:113
processHttpExecucao,pedido,known-sink,PedidoDeHttp,ts-prop,corpo,packages/core/src/fluxo/contexto.ts:114
processHttpExecucao,pedido,known-sink,PedidoDeHttp,literal-value,DELETE,packages/core/src/fluxo/contexto.ts:111
processHttpExecucao,pedido,known-sink,PedidoDeHttp,literal-value,GET,packages/core/src/fluxo/contexto.ts:111
processHttpExecucao,pedido,known-sink,PedidoDeHttp,ts-prop,metodo,packages/core/src/fluxo/contexto.ts:111
processHttpExecucao,pedido,known-sink,PedidoDeHttp,literal-value,PATCH,packages/core/src/fluxo/contexto.ts:111
processHttpExecucao,pedido,known-sink,PedidoDeHttp,literal-value,POST,packages/core/src/fluxo/contexto.ts:111
processHttpExecucao,pedido,known-sink,PedidoDeHttp,literal-value,PUT,packages/core/src/fluxo/contexto.ts:111
processHttpExecucao,pedido,known-sink,PedidoDeHttp,ts-prop,timeoutMs,packages/core/src/fluxo/contexto.ts:115
processHttpExecucao,pedido,known-sink,PedidoDeHttp,ts-prop,url,packages/core/src/fluxo/contexto.ts:112
processHttpExecucao,resposta,known-sink,RespostaDeHttp,ts-prop,corpo,packages/core/src/fluxo/contexto.ts:120
processHttpExecucao,resposta,known-sink,RespostaDeHttp,ts-prop,status,packages/core/src/fluxo/contexto.ts:119
regraPrioridade,condicao,read-cast,Expressao,ts-prop,campo,packages/core/src/score/motor.ts:31
regraPrioridade,condicao,read-cast,Expressao,ts-prop,combinador,packages/core/src/score/motor.ts:37
regraPrioridade,condicao,read-cast,Expressao,ts-prop,condicoes,packages/core/src/score/motor.ts:38
regraPrioridade,condicao,read-cast,Expressao,literal-value,contem,packages/core/src/score/motor.ts:19
regraPrioridade,condicao,read-cast,Expressao,literal-value,diferente,packages/core/src/score/motor.ts:18
regraPrioridade,condicao,read-cast,Expressao,literal-value,em,packages/core/src/score/motor.ts:25
regraPrioridade,condicao,read-cast,Expressao,literal-value,e,packages/core/src/score/motor.ts:37
regraPrioridade,condicao,read-cast,Expressao,literal-value,existe,packages/core/src/score/motor.ts:27
regraPrioridade,condicao,read-cast,Expressao,literal-value,igual,packages/core/src/score/motor.ts:17
regraPrioridade,condicao,read-cast,Expressao,literal-value,maior_igual,packages/core/src/score/motor.ts:22
regraPrioridade,condicao,read-cast,Expressao,literal-value,maior,packages/core/src/score/motor.ts:21
regraPrioridade,condicao,read-cast,Expressao,literal-value,menor_igual,packages/core/src/score/motor.ts:24
regraPrioridade,condicao,read-cast,Expressao,literal-value,menor,packages/core/src/score/motor.ts:23
regraPrioridade,condicao,read-cast,Expressao,literal-value,nao_contem,packages/core/src/score/motor.ts:20
regraPrioridade,condicao,read-cast,Expressao,literal-value,nao_em,packages/core/src/score/motor.ts:26
regraPrioridade,condicao,read-cast,Expressao,literal-value,nao_existe,packages/core/src/score/motor.ts:28
regraPrioridade,condicao,read-cast,Expressao,ts-prop,operador,packages/core/src/score/motor.ts:32
regraPrioridade,condicao,read-cast,Expressao,literal-value,ou,packages/core/src/score/motor.ts:37
regraPrioridade,condicao,read-cast,Expressao,ts-prop,valor,packages/core/src/score/motor.ts:33
regraScore,condicao,read-cast,Expressao,ts-prop,campo,packages/core/src/score/motor.ts:31
regraScore,condicao,read-cast,Expressao,ts-prop,combinador,packages/core/src/score/motor.ts:37
regraScore,condicao,read-cast,Expressao,ts-prop,condicoes,packages/core/src/score/motor.ts:38
regraScore,condicao,read-cast,Expressao,literal-value,contem,packages/core/src/score/motor.ts:19
regraScore,condicao,read-cast,Expressao,literal-value,diferente,packages/core/src/score/motor.ts:18
regraScore,condicao,read-cast,Expressao,literal-value,em,packages/core/src/score/motor.ts:25
regraScore,condicao,read-cast,Expressao,literal-value,e,packages/core/src/score/motor.ts:37
regraScore,condicao,read-cast,Expressao,literal-value,existe,packages/core/src/score/motor.ts:27
regraScore,condicao,read-cast,Expressao,literal-value,igual,packages/core/src/score/motor.ts:17
regraScore,condicao,read-cast,Expressao,literal-value,maior_igual,packages/core/src/score/motor.ts:22
regraScore,condicao,read-cast,Expressao,literal-value,maior,packages/core/src/score/motor.ts:21
regraScore,condicao,read-cast,Expressao,literal-value,menor_igual,packages/core/src/score/motor.ts:24
regraScore,condicao,read-cast,Expressao,literal-value,menor,packages/core/src/score/motor.ts:23
regraScore,condicao,read-cast,Expressao,literal-value,nao_contem,packages/core/src/score/motor.ts:20
regraScore,condicao,read-cast,Expressao,literal-value,nao_em,packages/core/src/score/motor.ts:26
regraScore,condicao,read-cast,Expressao,literal-value,nao_existe,packages/core/src/score/motor.ts:28
regraScore,condicao,read-cast,Expressao,ts-prop,operador,packages/core/src/score/motor.ts:32
regraScore,condicao,read-cast,Expressao,literal-value,ou,packages/core/src/score/motor.ts:37
regraScore,condicao,read-cast,Expressao,ts-prop,valor,packages/core/src/score/motor.ts:33
transicao,condicao,read-cast,Expressao,ts-prop,campo,packages/core/src/score/motor.ts:31
transicao,condicao,read-cast,Expressao,ts-prop,combinador,packages/core/src/score/motor.ts:37
transicao,condicao,read-cast,Expressao,ts-prop,condicoes,packages/core/src/score/motor.ts:38
transicao,condicao,read-cast,Expressao,literal-value,contem,packages/core/src/score/motor.ts:19
transicao,condicao,read-cast,Expressao,literal-value,diferente,packages/core/src/score/motor.ts:18
transicao,condicao,read-cast,Expressao,literal-value,em,packages/core/src/score/motor.ts:25
transicao,condicao,read-cast,Expressao,literal-value,e,packages/core/src/score/motor.ts:37
transicao,condicao,read-cast,Expressao,literal-value,existe,packages/core/src/score/motor.ts:27
transicao,condicao,read-cast,Expressao,literal-value,igual,packages/core/src/score/motor.ts:17
transicao,condicao,read-cast,Expressao,literal-value,maior_igual,packages/core/src/score/motor.ts:22
transicao,condicao,read-cast,Expressao,literal-value,maior,packages/core/src/score/motor.ts:21
transicao,condicao,read-cast,Expressao,literal-value,menor_igual,packages/core/src/score/motor.ts:24
transicao,condicao,read-cast,Expressao,literal-value,menor,packages/core/src/score/motor.ts:23
transicao,condicao,read-cast,Expressao,literal-value,nao_contem,packages/core/src/score/motor.ts:20
transicao,condicao,read-cast,Expressao,literal-value,nao_em,packages/core/src/score/motor.ts:26
transicao,condicao,read-cast,Expressao,literal-value,nao_existe,packages/core/src/score/motor.ts:28
transicao,condicao,read-cast,Expressao,ts-prop,operador,packages/core/src/score/motor.ts:32
transicao,condicao,read-cast,Expressao,literal-value,ou,packages/core/src/score/motor.ts:37
transicao,condicao,read-cast,Expressao,ts-prop,valor,packages/core/src/score/motor.ts:33
webhookSaida,cabecalhos,read-cast,"import(""C:/Users/anderson.linhares/pipe-wt/01-08/apps/api/src/webhooks-saida"").CabecalhoCustomizado[] | null",ts-prop,chave,apps/api/src/webhooks-saida.ts:71
webhookSaida,cabecalhos,read-cast,"import(""C:/Users/anderson.linhares/pipe-wt/01-08/apps/api/src/webhooks-saida"").CabecalhoCustomizado[] | null",ts-prop,valor,apps/api/src/webhooks-saida.ts:72
