group,token,occurrences
backend,entrada,82
backend,entrar,15
backend,entrega,59
backend,erro,256
backend,erros,10
backend,escopo,118
backend,escopos,19
backend,esforco,16
backend,espelho,17
backend,estado,215
backend,excecao,22
backend,excecoes,7
backend,execucao,25
backend,execucoes,2
backend,exibicao,2
backend,expiracao,13
backend,explicacao,1
backend,exportacao,1
backend,fatais,1
backend,faturamento,1
backend,fechamento,1
backend,fila,295
backend,filas,56
backend,filtro,24
backend,filtros,6
backend,finalizacao,1
backend,financeiro,1
backend,fluxo,346
backend,fluxos,66
backend,formato,27
backend,fracao,4
backend,funcao,2
backend,funcionais,1
backend,funcionalidade,1
backend,funcoes,1
backend,fundacao,1
backend,gerais,5
backend,gerenciador,1
backend,gerenciar,47
backend,gestao,187
backend,globais,4
backend,gravacao,6
backend,grupos,10
backend,guarda,13
backend,historico,23
backend,homologacao,1
backend,idade,2
backend,identidade,14
backend,iguais,1
backend,imagem,36
backend,imagens,2
backend,impedimento,1
backend,implantacao,14
backend,implantacoes,1
backend,implantar,1
backend,importacao,31
backend,importacoes,10
backend,importar,10
backend,inatividade,2
backend,informacoes,1
backend,inscricao,8
backend,insercao,1
backend,integracao,9
backend,integracoes,6
backend,inteira,1
backend,inteiro,10
backend,intencao,1
backend,interacao,5
backend,introspeccao,1
backend,isolamento,13
backend,iteracoes,5
backend,janela,47
backend,leitura,10
backend,ligacao,17
backend,linguagem,6
backend,listagem,1
backend,literais,3
backend,locais,2
backend,localizacao,1
backend,mapeamento,1
backend,marcacao,3
backend,marcacoes,2
backend,massa,2
backend,membro,28
backend,membros,25
backend,mensagem,211
backend,mensagens,59
backend,metricas,14
backend,midia,70
backend,migracao,1
backend,migrar,11
backend,modelo,57
backend,momento,1
backend,monitoramento,21
backend,monitoria,26
backend,nacionais,1
backend,notificacoes,5
backend,observabilidade,1
backend,observar,1
backend,ocupacao,2
backend,opcao,2
backend,opcoes,39
backend,operacao,8
backend,oportunidade,6
backend,oportunidades,1
backend,ordem,47
backend,ordenacao,2
backend,originais,1
backend,padroes,2
backend,pagina,44
backend,paginacao,2
backend,paginas,1
backend,painel,10
backend,papel,106
backend,particao,3
backend,particoes,3
backend,periodo,29
backend,permissao,53
backend,permissoes,75
backend,ponte,6
backend,pontuacao,1
backend,populacao,1
backend,por,186
backend,posicao,16
backend,posicoes,3
backend,preferencias,19
backend,prefixo,15
backend,primeira,61
backend,primeiro,22
backend,prioridade,66
backend,probabilidade,1
backend,producao,1
backend,profundidade,2
backend,propriedade,2
backend,propriedades,1
backend,provisionamento,1
backend,provisionar,6
backend,publicacao,1
backend,qualidade,2
backend,quantidade,4
backend,reais,1
backend,reautorizacao,11
backend,recategorizacao,9
backend,recomendacao,4
backend,redacao,1
backend,redirecionamento,6
backend,refinamento,1
backend,reivindicacoes,2
backend,relacao,1
backend,relatorio,25
backend,relatorios,9
backend,renovacao,6
backend,renovacoes,1
backend,requisicao,222
backend,requisicoes,1
backend,resolucao,3
backend,restaurar,6
backend,retorno,11
backend,roteador,55
backend,roteamento,1
backend,satisfacao,6
backend,secao,1
backend,segredo,83
backend,segredos,6
backend,selecao,3
backend,semear,17
backend,semente,6
backend,sentimento,2
backend,sentimentos,1
backend,servico,39
backend,sessao,346
backend,sinais,2
backend,sincronizacao,5
backend,situacao,1
backend,situacoes,1
backend,sobreposicao,1
backend,subir,49
backend,tempo,27
backend,terceiro,1
backend,terminais,1
backend,teste,17
backend,transacao,3
backend,transicao,7
backend,transicoes,2
backend,trocar,12
backend,usuario,257
backend,usuarios,14
backend,utilidade,3
backend,validacao,6
backend,validade,12
backend,valor,115
backend,valores,21
backend,variacao,1
backend,variaveis,33
backend,variavel,9
backend,varredura,10
backend,vazio,24
backend,verdade,15
backend,verificacao,13
backend,versoes,10
front,acesso,6
front,acoes,180
front,acordeoes,1
front,agregacao,1
front,agrupamento,7
front,agrupamentos,2
front,alteracoes,2
front,analise,39
front,andamento,4
front,anexo,24
front,anexos,2
front,aninhamento,1
front,aplicacao,2
front,apresentacao,5
front,aproximacao,1
front,armazenamento,3
front,arquivo,52
front,atencao,2
front,atendente,96
front,atendentes,60
front,atendimento,128
front,atendimentos,4
front,ativa,94
front,ativacao,1
front,atividade,5
front,atividades,2
front,atribuicao,5
front,atribuicoes,2
front,atuais,25
front,atualizacao,1
front,autenticacao,20
front,automacao,9
front,autorizacao,4
front,avaliacao,22
front,avaliacoes,1
front,baloes,3
front,banco,10
front,bloco,405
front,botoes,23
front,brasileira,1
front,brasileiro,1
front,busca,190
front,cadastro,12
front,cadastros,3
front,canais,73
front,canal,152
front,capacidade,10
front,carregamento,1
front,cartao,441
front,cartoes,36
front,casamento,1
front,casca,48
front,chave,171
front,cidade,2
front,classificacao,15
front,colecao,2
front,coluna,108
front,comparacao,20
front,comparacoes,2
front,componente,1
front,componentes,5
front,composicao,1
front,compositor,21
front,comunicacao,15
front,condicao,76
front,condicoes,26
front,configuracao,11
front,configuracoes,85
front,confirmacao,3
front,consolidacao,1
front,construcao,2
front,consulta,12
front,conta,163
front,contagem,17
front,contas,25
front,contato,195
front,contatos,104
front,contexto,78
front,contrato,17
front,conversa,139
front,conversas,36
front,conversoes,3
front,convite,63
front,cordeiroalimentos,1
front,credenciais,6
front,criacao,9
front,criar,54
front,cumprimento,2
front,dados,161
front,definicao,1
front,demais,5
front,demonstracao,6
front,descer,2
front,descricao,81
front,deslocamento,11
front,destino,56
front,detalhamento,2
front,dicionario,9
front,dinheiro,3
front,direcao,29
front,direcoes,1
front,disponibilidade,3
front,distribuicao,6
front,documento,21
front,documentos,1
front,dominio,9
front,duracao,19
front,edicao,31
front,elegibilidade,1
front,elemento,1
front,embalagem,1
front,encaminhamento,2
front,encerramento,65
front,encerramentos,3
front,entidade,4
front,entidades,2
front,entrada,123
front,entrar,113
front,entrega,28
front,erro,533
front,erros,52
front,escopo,27
front,escopos,7
front,esforco,41
front,estado,199
front,estrutura,4
front,excecao,10
front,excecoes,3
front,execucoes,2
front,exibicao,5
front,expiracao,9
front,explicacao,7
front,exportacao,4
front,extensoes,11
front,fatais,4
front,fechamento,3
front,fila,169
front,filas,78
front,fileira,14
front,filtro,96
front,filtros,63
front,fluxo,237
front,fluxos,1
front,formatacao,1
front,formato,16
front,fracao,17
front,funcionalidade,3
front,funcionalidades,2
front,geracao,2
front,gerais,7
front,gerenciador,18
front,gestao,77
front,globais,64
front,gravacao,11
front,grupos,36
front,guarda,2
front,historico,38
front,idade,2
front,identidade,15
front,iguais,4
front,ilustracao,19
front,ilustracoes,2
front,imagem,31
front,implantacao,11
front,implementacao,1
front,importacao,15
front,importar,11
front,inatividade,2
front,informacao,4
front,informacoes,9
front,iniciais,7
front,instrucao,2
front,instrucoes,2
front,integracao,1
front,integracoes,10
front,inteira,3
front,inteiro,7
front,intencao,4
front,intencoes,3
front,interacao,10
front,introducao,4
front,janela,46
front,juncao,1
front,leitura,80
front,ligacao,6
front,listagem,32
front,literais,1
front,lixeira,1
front,locais,2
front,localizacao,2
front,massa,26
front,membro,16
front,membros,35
front,mensagem,164
front,mensagens,63
front,metricas,29
front,midia,8
front,modelo,63
front,monitoramento,25
front,monitoria,11
front,montagem,1
front,movimento,1
front,navegacao,10
front,negociacao,1
front,normalizacao,1
front,notificacao,2
front,notificacoes,6
front,novidade,3
front,novidades,5
front,observacao,1
front,observar,2
front,ocupacao,5
front,opcao,43
front,opcoes,111
front,operacao,4
front,oportunidade,17
front,oportunidades,13
front,orcamento,5
front,ordem,73
front,ordenacao,2
front,padroes,4
front,pagamento,6
front,pagamentos,5
front,pagina,184
front,paginacao,19
front,paginas,65
front,painel,316
front,papel,113
front,parciais,1
front,participacao,1
front,passagem,8
front,penalidade,1
front,peneira,2
front,periodo,64
front,permissao,16
front,permissoes,40
front,plotagem,2
front,ponte,10
front,populacao,8
front,por,176
front,posicao,37
front,posicoes,2
front,preferencias,23
front,prefixo,16
front,primeira,56
front,primeiro,15
front,principais,4
front,prioridade,24
front,probabilidade,5
front,processamento,5
front,producao,1
front,propriedade,6
front,propriedades,1
front,publicacao,3
front,qualidade,1
front,quantidade,10
front,ramificacao,1
front,rastreamento,1
front,reatribuicao,1
front,reautorizacao,3
front,recategorizacao,2
front,redirecionamento,2
front,rejeicao,1
front,relatorio,23
front,relatorios,33
front,repeticao,1
front,repeticoes,1
front,requisicao,3
front,resolucao,1
front,responsabilidade,2
front,restaurar,4
front,retorno,1
front,rezendeeducacao,1
front,rolagem,7
front,roteador,91
front,satisfacao,8
front,saudacao,1
front,secao,79
front,secoes,18
front,segmento,3
front,segredo,10
front,segredos,2
front,selecao,73
front,semear,1
front,semente,5
front,sentimento,3
front,sentimentos,1
front,separacao,1
front,servico,16
front,sessao,65
front,sinais,4
front,sincronizacao,2
front,situacao,19
front,situacoes,1
front,sobreposicao,3
front,subir,3
front,tempo,69
front,terceiro,1
front,teste,25
front,testes,2
front,totais,2
front,traducao,20
front,traducoes,10
front,transacao,1
front,transcricao,28
front,transicao,8
front,transicoes,7
front,trilho,64
front,trocar,14
front,truncamento,1
front,usuario,42
front,usuarios,6
front,utilidade,6
front,validacao,16
front,valor,361
front,valores,36
front,variacao,8
front,variaveis,41
front,variavel,36
front,varredura,1
front,vazio,110
front,verdade,2
front,versoes,10
front,visoes,8
front,visualizacao,1
